variable,Age,Total x,Totaly,TUG
Age,1.0,-0.29222260246229664,-0.19861706119243364,0.25107560769456166
Total x,-0.29222260246229664,1.0,0.12402274520080891,-0.21750329829749027
Totaly,-0.19861706119243364,0.12402274520080891,1.0,-0.31588658722536017
TUG,0.25107560769456166,-0.21750329829749027,-0.31588658722536017,1.0
