outer_fold,model,metric,reported_value,recomputed_value,absolute_difference,threshold_used,status
2,random_forest,balanced_accuracy,0.583333,0.5833333333333333,3.333e-07,0.5,MATCH
2,random_forest,brier_score,0.272315,0.27231488118526664,1.188e-07,0.5,MATCH
3,logistic_regression,roc_auc,0.685185,0.6851851851851852,1.852e-07,0.5,MATCH
3,logistic_regression,pr_auc,0.333665,0.3336655,5e-07,0.5,MATCH
3,logistic_regression,sensitivity,0.166667,0.16666666666666666,3.333e-07,0.5,MATCH
3,logistic_regression,specificity,0.888889,0.8888888888888888,1.111e-07,0.5,MATCH
3,logistic_regression,ppv,0.5,0.5,0.0,0.5,MATCH
3,logistic_regression,npv,0.615385,0.6153846153846154,3.846e-07,0.5,MATCH
3,logistic_regression,f1,0.25,0.25,0.0,0.5,MATCH
3,logistic_regression,balanced_accuracy,0.527778,0.5277777777777778,2.222e-07,0.5,MATCH
3,logistic_regression,brier_score,0.222192,0.2221917659946667,2.34e-07,0.5,MATCH
3,linear_svm,roc_auc,0.703704,0.7037037037037037,2.963e-07,0.5,MATCH
3,linear_svm,pr_auc,-0.310582,-0.310582,0.0,0.5,MATCH
3,linear_svm,sensitivity,0.0,0.0,0.0,0.5,MATCH
3,linear_svm,specificity,1.0,1.0,0.0,0.5,MATCH
3,linear_svm,ppv,,,,0.5,N/A
3,linear_svm,npv,0.6,0.6,0.0,0.5,MATCH
3,linear_svm,f1,0.0,0.0,0.0,0.5,MATCH
3,linear_svm,balanced_accuracy,0.5,0.5,0.0,0.5,MATCH
3,linear_svm,brier_score,,,,0.5,N/A
3,random_forest,roc_auc,0.703704,0.7037037037037037,2.963e-07,0.5,MATCH
3,random_forest,pr_auc,0.27699,0.27699,0.0,0.5,MATCH
3,random_forest,sensitivity,0.166667,0.16666666666666666,3.333e-07,0.5,MATCH
3,random_forest,specificity,0.888889,0.8888888888888888,1.111e-07,0.5,MATCH
3,random_forest,ppv,0.5,0.5,0.0,0.5,MATCH
3,random_forest,npv,0.615385,0.6153846153846154,3.846e-07,0.5,MATCH
3,random_forest,f1,0.25,0.25,0.0,0.5,MATCH
3,random_forest,balanced_accuracy,0.527778,0.5277777777777778,2.222e-07,0.5,MATCH
3,random_forest,brier_score,0.216584,0.21658394411493334,5.59e-08,0.5,MATCH
4,logistic_regression,roc_auc,0.75,0.7499999999999999,0.0,0.5,MATCH
4,logistic_regression,pr_auc,0.36982,0.36982000000000004,0.0,0.5,MATCH
